canonical_class,class_id
Apple - Healthy,0
Apple - Rust,1
Apple - Scab,2
Apple - apple black rot,3
Apple - apple black rot ,4
Apple - apple mosaic virus,5
Apple - apple mosaic virus ,6
Apple - apple rust,7
Apple - apple rust ,8
Apple - apple scab,9
Apple - apple scab ,10
Banana - Bract mosaic virus,11
Banana - Cordana,12
Banana - Healthy,13
Banana - Insectpest,14
Banana - Moko,15
Banana - Panama,16
Banana - Pestalotiopsis,17
Banana - Sigatoka,18
Banana - Yb sigatoka,19
Banana - banana anthracnose Baidu ,20
Banana - banana anthracnose Bing ,21
Banana - banana anthracnose Google ,22
Banana - banana black leaf streak Baidu ,23
Banana - banana black leaf streak Bing ,24
Banana - banana black leaf streak banana black sigatoka (),25
Banana - banana bunchy top Baidu ,26
Banana - banana bunchy top Bing ,27
Banana - banana bunchy top Google ,28
Banana - banana cigar end rot Bing ,29
Banana - banana cigar end rot Google ,30
Banana - banana cordana leaf spot Bing ,31
Banana - banana panama disease,32
Banana - banana panama disease ,33
Basil - basil downy mildew,34
Bean - bean halo blight,35
Bean - bean mosaic virus,36
Bean - bean mosaic virus ,37
Bean - bean rust,38
Bean - bean rust ,39
Bell Pepper - Bacterial Spot,40
Bell Pepper - Healthy,41
Bell pepper - bell pepper bacterial spot Bing ,42
Bell pepper - bell pepper blossom end rot Bing ,43
Bell pepper - bell pepper blossom end rot Google ,44
Bell pepper - bell pepper frogeye leaf spot Bing ,45
Bell pepper - bell pepper powdery mildew Bing ,46
Blackgram - Anthracnose,47
Blackgram - Healthy,48
Blackgram - Leaf Crinkle,49
Blackgram - Powdery Mildew,50
Blackgram - Yellow Mosaic,51
Blueberry - Healthy,52
Blueberry - blueberry anthracnose Bing ,53
Blueberry - blueberry botrytis blight Bing ,54
Blueberry - blueberry mummy berry Bing ,55
Blueberry - blueberry rust,56
Blueberry - blueberry scorch Bing ,57
Blueberry - blueberry scorch Google ,58
Broccoli - broccoli alternaria leaf spot Bing ,59
Broccoli - broccoli alternaria leaf spot Google ,60
Broccoli - broccoli downy mildew,61
Broccoli - broccoli downy mildew ,62
Cabbage - cabbage alternaria leaf spot,63
Cabbage - cabbage alternaria leaf spot ,64
Cabbage - cabbage black rot Bing ,65
Cabbage - cabbage black rot Google ,66
Cabbage - cabbage downy mildew Bing ,67
Carrot - carrot alternaria leaf blight Bing ,68
Carrot - carrot cavity spot,69
Carrot - carrot cercospora leaf blight Bing ,70
Cauliflower - Bacterial  spot  rot,71
Cauliflower - Blackrot,72
Cauliflower - Downy mildew,73
Cauliflower - Healthy,74
Cauliflower - cauliflower alternaria leaf spot,75
Cauliflower - cauliflower bacterial soft rot Bing ,76
Celery - celery anthracnose,77
Celery - celery early blight,78
Celery - celery early blight ,79
Cherry - Healthy,80
Cherry - cherry leaf spot,81
Cherry - cherry leaf spot ,82
