image_id,image_path,canonical_class,class_id,crop,source_dataset,width,height,original_filename,mask_path
img_00000000,images/img_00000000.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,144y.jpg,
img_00000001,images/img_00000001.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,137y.jpg,
img_00000002,images/img_00000002.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,196y.jpg,
img_00000003,images/img_00000003.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,211y.jpg,
img_00000004,images/img_00000004.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,32y.jpg,
img_00000005,images/img_00000005.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,187y.jpg,
img_00000006,images/img_00000006.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,151y.jpg,
img_00000007,images/img_00000007.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,34y.jpg,
img_00000008,images/img_00000008.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,184y.jpg,
img_00000009,images/img_00000009.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,143y.jpg,
img_00000010,images/img_00000010.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,31y.jpg,
img_00000011,images/img_00000011.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,97y.jpg,
img_00000012,images/img_00000012.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,177y.jpg,
img_00000013,images/img_00000013.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,202y.jpg,
img_00000014,images/img_00000014.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,16y.jpg,
img_00000015,images/img_00000015.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,215y.jpg,
img_00000016,images/img_00000016.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,222y.jpg,
img_00000017,images/img_00000017.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,213y.jpg,
img_00000018,images/img_00000018.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,111y.jpg,
img_00000019,images/img_00000019.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,212y.jpg,
img_00000020,images/img_00000020.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,178y.jpg,
img_00000021,images/img_00000021.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,1y.jpg,
img_00000022,images/img_00000022.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,88y.jpg,
img_00000023,images/img_00000023.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,27y.jpg,
img_00000024,images/img_00000024.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,174y.jpg,
img_00000025,images/img_00000025.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,185y.jpg,
img_00000026,images/img_00000026.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,113y.jpg,
img_00000027,images/img_00000027.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,124y.jpg,
img_00000028,images/img_00000028.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,192y.jpg,
img_00000029,images/img_00000029.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,73y.jpg,
img_00000030,images/img_00000030.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,51y.jpg,
img_00000031,images/img_00000031.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,224y.jpg,
img_00000032,images/img_00000032.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,14y.jpg,
img_00000033,images/img_00000033.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,122y.jpg,
img_00000034,images/img_00000034.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,33y.jpg,
img_00000035,images/img_00000035.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,198y.jpg,
img_00000036,images/img_00000036.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,161y.jpg,
img_00000037,images/img_00000037.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,102y.jpg,
img_00000038,images/img_00000038.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,69y.jpg,
img_00000039,images/img_00000039.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,160y.jpg,
img_00000040,images/img_00000040.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,141y.jpg,
img_00000041,images/img_00000041.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,86y.jpg,
img_00000042,images/img_00000042.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,147y.jpg,
img_00000043,images/img_00000043.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,166y.jpg,
img_00000044,images/img_00000044.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,135y.jpg,
img_00000045,images/img_00000045.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,49y.jpg,
img_00000046,images/img_00000046.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,76y.jpg,
img_00000047,images/img_00000047.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,65y.jpg,
img_00000048,images/img_00000048.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,11y.jpg,
img_00000049,images/img_00000049.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,150y.jpg,
img_00000050,images/img_00000050.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,85y.jpg,
img_00000051,images/img_00000051.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,119y.jpg,
img_00000052,images/img_00000052.jpg,Blackgram - Yellow Mosaic,59,Blackgram,blackgram/BPLD,512,512,149y.jpg,
