image_path,source_dataset,source_class,canonical_class,crop,original_filename
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/144y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,144y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/137y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,137y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/196y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,196y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/211y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,211y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/32y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,32y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/187y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,187y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/151y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,151y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/34y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,34y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/184y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,184y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/143y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,143y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/31y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,31y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/97y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,97y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/177y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,177y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/202y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,202y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/16y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,16y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/215y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,215y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/222y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,222y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/213y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,213y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/111y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,111y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/212y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,212y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/178y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,178y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/1y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,1y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/88y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,88y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/27y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,27y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/174y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,174y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/185y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,185y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/113y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,113y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/124y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,124y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/192y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,192y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/73y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,73y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/51y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,51y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/224y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,224y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/14y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,14y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/122y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,122y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/33y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,33y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/198y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,198y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/161y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,161y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/102y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,102y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/69y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,69y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/160y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,160y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/141y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,141y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/86y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,86y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/147y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,147y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/166y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,166y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/135y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,135y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/49y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,49y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/76y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,76y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/65y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,65y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/11y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,11y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/150y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,150y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/85y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,85y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/119y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,119y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/149y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,149y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/57y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,57y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/203y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,203y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/163y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,163y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/191y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,191y.jpg
/home/hari/Professional/Projects/Plant Disease Predictor/plant_disease_project/raw/blackgram/BPLD/yellow mosaic/71y.jpg,blackgram/BPLD,yellow mosaic,Blackgram - Yellow Mosaic,Blackgram,71y.jpg
